locus,concept,concept_type,ambiguity_level,query_condition,query_count,catholic_score,secular_score,catholic_alignment_score,top_catholic_rate,mean_nearest_catholic_rank,mean_nearest_secular_rank
Human Dignity and Theological Anthropology,poverty,social_moral,high,theological,3,0.3028491129477819,0.28702086210250854,0.015828250845273322,1.0,1.0,2.6666666666666665
Human Dignity and Theological Anthropology,rational nature,anthropological_philosophical,medium,neutral,3,0.34924992124239607,0.29174494445323945,0.05750497678915658,1.0,1.0,3.6666666666666665
Human Dignity and Theological Anthropology,rational nature,anthropological_philosophical,medium,theological,3,0.3523699790239334,0.26832850178082784,0.08404147724310558,1.0,1.0,4.0
Human Dignity and Theological Anthropology,soul,anthropological_doctrinal,high,neutral,3,0.33555218279361726,0.28782138327757517,0.047730799516042054,1.0,1.0,3.3333333333333335
Human Dignity and Theological Anthropology,soul,anthropological_doctrinal,high,theological,3,0.31611051360766096,0.20085526804129283,0.11525524556636813,1.0,1.0,4.333333333333333
Human Dignity and Theological Anthropology,subsidiarity,social_doctrine,low,neutral,3,0.34131169617176055,0.2346526066462199,0.10665908952554067,1.0,1.0,5.0
Human Dignity and Theological Anthropology,subsidiarity,social_doctrine,low,theological,3,0.3489251762628555,0.22027039527893066,0.12865478098392488,1.0,1.0,5.0
Human Dignity and Theological Anthropology,suffering,anthropological_spiritual,high,neutral,3,0.26390273670355474,0.25261658330758413,0.011286153395970647,0.6666666666666666,1.6666666666666667,1.6666666666666667
Human Dignity and Theological Anthropology,suffering,anthropological_spiritual,high,theological,3,0.2822856694459915,0.1889097770055135,0.09337589244047802,1.0,1.0,6.0
Human Dignity and Theological Anthropology,unborn life,bioethical_anthropological,high,neutral,3,0.4395001530647278,0.31774582465489704,0.12175432840983075,1.0,1.0,5.0
Human Dignity and Theological Anthropology,unborn life,bioethical_anthropological,high,theological,3,0.41903644303480786,0.26731357177098597,0.15172287126382192,1.0,1.0,5.0
Human Dignity and Theological Anthropology,vocation,anthropological_spiritual,medium,neutral,3,0.3352589180072149,0.2912895500659943,0.043969367941220604,1.0,1.0,3.6666666666666665
Human Dignity and Theological Anthropology,vocation,anthropological_spiritual,medium,theological,3,0.3293620328108469,0.23194669584433236,0.09741533696651457,1.0,1.0,4.666666666666667
Human Dignity and Theological Anthropology,work,social_anthropological,high,neutral,3,0.2625872890154521,0.24796821375687916,0.014619075258572894,0.6666666666666666,1.3333333333333333,2.0
Human Dignity and Theological Anthropology,work,social_anthropological,high,theological,3,0.3357178568840027,0.18374306658903758,0.1519747902949651,1.0,1.0,5.666666666666667
Love Communion and Sacramentality,Eucharist,sacramental,low,neutral,3,0.4693039417266846,0.2937164098024368,0.17558753192424778,1.0,1.0,5.333333333333333
Love Communion and Sacramentality,Eucharist,sacramental,low,theological,3,0.4563150882720947,0.2680156817038854,0.18829940656820932,1.0,1.0,6.0
Love Communion and Sacramentality,agape,theological_love,low,neutral,3,0.3889638086160024,0.29039662778377534,0.09856718083222706,0.3333333333333333,1.6666666666666667,1.3333333333333333
Love Communion and Sacramentality,agape,theological_love,low,theological,3,0.41990886926651,0.2524099518855413,0.16749891738096875,0.6666666666666666,1.3333333333333333,3.6666666666666665
Love Communion and Sacramentality,caritas,theological_virtue,medium,neutral,3,0.3857192854086558,0.3330711543560028,0.052648131052653,0.0,2.0,1.0
Love Communion and Sacramentality,caritas,theological_virtue,medium,theological,3,0.3925238609313965,0.3265789528687795,0.06594490806261698,0.0,2.0,1.0
Love Communion and Sacramentality,charity,theological_virtue,high,neutral,3,0.33729230165481566,0.36416483720143633,-0.02687253554662067,0.6666666666666666,1.3333333333333333,1.6666666666666667
Love Communion and Sacramentality,charity,theological_virtue,high,theological,3,0.3912133773167928,0.30240457554658257,0.08880880177021024,1.0,1.0,4.0
Love Communion and Sacramentality,chastity,moral_virtue,high,neutral,3,0.3281547784805298,0.36002910633881885,-0.03187432785828909,0.0,2.0,1.0
