locus,concept,concept_type,ambiguity_level,neutral_cas,theological_cas,context_shift,neutral_top_catholic_rate,theological_top_catholic_rate,neutral_query_count,theological_query_count
Love Communion and Sacramentality,family,social_anthropological,high,0.0015568902095158914,0.10401120434204736,0.10245431413253146,0.3333333333333333,1.0,3,3
Love Communion and Sacramentality,fidelity,moral_virtue,medium,0.08660733799139658,0.14751809537410734,0.06091075738271076,1.0,1.0,3,3
Love Communion and Sacramentality,friendship,moral_anthropological,high,0.01170595586299894,0.12420852382977803,0.11250256796677909,0.3333333333333333,1.0,3,3
Love Communion and Sacramentality,fruitfulness,marital_social,medium,0.14737097322940826,0.20469275166591008,0.057321778436501825,1.0,1.0,3,3
Love Communion and Sacramentality,love,moral_anthropological,high,0.013898386557896944,0.19339557687441508,0.17949719031651815,0.6666666666666666,1.0,3,3
Love Communion and Sacramentality,marriage,sacramental_anthropological,high,0.11194918354352318,0.24868206133445106,0.13673287779092788,1.0,1.0,3,3
Love Communion and Sacramentality,neighbor,moral_biblical,high,-0.08792943755785622,0.038914046684900915,0.12684348424275713,0.0,1.0,3,3
Love Communion and Sacramentality,prayer,spiritual,medium,0.15112379093964895,0.17385106955965357,0.02272727862000462,1.0,1.0,3,3
Love Communion and Sacramentality,sacrament,sacramental,low,0.11361043403546017,0.1247521867354711,0.011141752700010929,1.0,1.0,3,3
Love Communion and Sacramentality,sacrifice,moral_liturgical,high,0.1542761355638504,0.24252654115358988,0.08825040558973948,1.0,1.0,3,3
Love Communion and Sacramentality,self-gift,anthropological_moral,medium,0.19529817700386043,0.2288395712773005,0.03354139427344008,1.0,1.0,3,3
Love Communion and Sacramentality,service,moral_social,high,0.108135720094045,0.18120357294877368,0.07306785285472868,1.0,1.0,3,3
Love Communion and Sacramentality,sexuality,anthropological_moral,high,-0.09139984697103498,0.06736003160476683,0.15875987857580182,0.0,0.3333333333333333,3,3
Love Communion and Sacramentality,solidarity,social_doctrine,medium,0.026285824179649364,0.10695650676886238,0.08067068258921302,0.6666666666666666,1.0,3,3
Love Communion and Sacramentality,worship,liturgical_spiritual,medium,0.12261568407217659,0.15444875359535218,0.03183306952317559,1.0,1.0,3,3
Sin Grace and Redemption,absolution,sacramental,low,0.039044815301895165,0.09946929117043814,0.06042447586854297,1.0,1.0,3,3
Sin Grace and Redemption,concupiscence,doctrinal_anthropological,low,0.1764231204986572,0.17967181305090588,0.0032486925522486887,1.0,1.0,3,3
Sin Grace and Redemption,confession,sacramental,low,0.08964073111613591,0.14860020379225414,0.05895947267611823,1.0,1.0,3,3
Sin Grace and Redemption,contrition,sacramental_moral,low,0.10778821408748628,0.1380835851033529,0.030295371015866615,1.0,1.0,3,3
Sin Grace and Redemption,conversion,moral_spiritual,medium,0.05088558991750083,0.12957240939140321,0.07868681947390238,1.0,1.0,3,3
Sin Grace and Redemption,forgiveness,moral_spiritual,medium,0.008091812332471212,0.10318163832028708,0.09508982598781587,0.0,1.0,3,3
Sin Grace and Redemption,grace,doctrinal,low,0.15364367862542472,0.21388895163933438,0.06024527301390967,1.0,1.0,3,3
Sin Grace and Redemption,guilt,psychological_moral,high,0.013040322065353402,0.10943085451920827,0.09639053245385487,0.3333333333333333,1.0,3,3
Sin Grace and Redemption,judgment,eschatological_moral,high,0.15292776226997376,0.17697483201821643,0.024047069748242667,1.0,1.0,3,3
Sin Grace and Redemption,justification,doctrinal,low,0.008681389689445504,0.11870826681454978,0.11002687712510428,0.6666666666666666,1.0,3,3
Sin Grace and Redemption,mercy,moral_spiritual,medium,0.02714060048262279,0.07812037567297618,0.05097977519035339,0.6666666666666666,1.0,3,3
Sin Grace and Redemption,mortal sin,doctrinal,low,0.07200299402077993,0.06894638538360597,-0.0030566086371739687,1.0,1.0,3,3
Sin Grace and Redemption,original sin,doctrinal,low,0.10677947998046873,0.07957100272178651,-0.027208477258682223,1.0,1.0,3,3
Sin Grace and Redemption,penance,sacramental_moral,low,0.04188330968221029,0.046629559000333165,0.004746249318122876,1.0,1.0,3,3
Sin Grace and Redemption,personal sin,moral_doctrinal,medium,0.1112960070371628,0.11276610940694809,0.0014701023697852866,1.0,1.0,3,3
Sin Grace and Redemption,reconciliation,moral_sacramental,medium,0.00592331190903983,0.12402060031890871,0.11809728840986888,0.3333333333333333,1.0,3,3
Sin Grace and Redemption,redemption,doctrinal,medium,0.1475375274817149,0.17837483584880828,0.03083730836709339,1.0,1.0,3,3
Sin Grace and Redemption,repentance,moral_spiritual,medium,0.09814511835575103,0.11519093513488769,0.017045816779136663,1.0,1.0,3,3
Sin Grace and Redemption,salvation,doctrinal,medium,0.1940913716952006,0.23551453749338783,0.04142316579818722,1.0,1.0,3,3
Sin Grace and Redemption,sanctification,doctrinal,low,0.16977868477503458,0.171466268102328,0.0016875833272934349,1.0,1.0,3,3
Sin Grace and Redemption,shame,psychological_moral,high,-0.1232995917399724,-0.02345250348250071,0.0998470882574717,0.0,1.0,3,3
Sin Grace and Redemption,sin,moral_doctrinal,medium,0.13836197058359784,0.1468885247906049,0.00852655420700707,1.0,1.0,3,3
Sin Grace and Redemption,temptation,moral_spiritual,medium,0.04421046674251555,0.11808228641748426,0.07387181967496871,1.0,1.0,3,3
Sin Grace and Redemption,transgression,moral_juridical,medium,0.10528995593388878,0.1779976507027944,0.07270769476890564,1.0,1.0,3,3
Sin Grace and Redemption,venial sin,doctrinal,low,-0.041998639951149636,-0.04299911856651306,-0.001000478615363426,0.3333333333333333,1.0,3,3
