embedding_id,umap_x,umap_y,umap_z
embedding_00083,13.900318146,6.130007267,-4.399961948
embedding_00084,12.080717087,-0.301112294,2.200952053
embedding_00085,9.341185570,1.772613645,1.879990458
embedding_00086,5.353968620,2.412662268,-4.033758640
embedding_00087,5.568171978,4.262526512,-3.076943159
embedding_00088,7.443743706,0.536460519,5.586434841
embedding_00089,11.021006584,2.778840542,7.336578369
embedding_00090,10.542852402,5.607608318,-3.476920605
embedding_00091,14.827939034,2.760580301,-0.126654565
embedding_00092,10.885226250,5.812102318,1.499928713
embedding_00093,10.269109726,13.572207451,5.947433949
embedding_00094,10.961493492,0.632887065,-2.852636814
embedding_00095,11.010068893,-0.413884014,-3.622289658
embedding_00096,6.229086399,5.858653545,2.279716730
embedding_00097,10.667721748,5.557842731,3.998491287
embedding_00098,8.300692558,4.359249592,-0.084781013
embedding_00099,4.545403481,6.888165474,-0.537071347
embedding_00100,12.352293968,7.849610806,-1.342035532
embedding_00101,11.140627861,5.268170357,-1.336643934
embedding_00102,12.499766350,6.012059689,-3.531134367
embedding_00103,13.516081810,5.814923286,-5.070637226
embedding_00104,5.785334587,2.479141951,-4.975147247
embedding_00105,11.679954529,-0.035775382,4.173539162
embedding_00106,12.219180107,8.295135498,3.132506132
embedding_00107,14.491415977,6.238564968,-4.326266766
embedding_00108,13.827727318,3.278288126,-0.160973161
embedding_00109,10.707012177,1.909213185,-2.453924894
embedding_00110,6.215941429,1.345597267,-4.500394344
embedding_00111,3.979792833,5.523094654,-2.462061882
embedding_00112,6.038622379,1.414839864,-4.226855278
embedding_00113,4.335307598,5.122426510,-2.574161768
embedding_00114,9.728780746,5.007749557,-1.773252964
embedding_00115,11.722042084,5.389163971,-4.053771019
embedding_00116,13.234528542,4.683928967,-4.404406548
embedding_00117,11.134300232,5.391572952,-3.659596205
embedding_00118,9.517396927,0.955519617,-3.148013592
embedding_00119,10.063752174,8.498024940,3.179945230
embedding_00120,9.759581566,2.317966461,5.816072941
embedding_00121,11.421237946,4.392738342,0.314472765
embedding_00122,12.556571960,-0.671354949,-1.957481384
embedding_00123,11.621136665,7.077199936,-0.554192364
