audit_id,concept,contrast_type,paraphrase_count,mean_delta_s_c,min_delta_s_c,max_delta_s_c,mean_delta_s_r,min_delta_s_r,max_delta_s_r,mean_delta_cas,min_delta_cas,max_delta_cas,delta_cas_standard_deviation,positive_delta_cas_proportion,positive_delta_s_c_proportion
sin_rule_breaking,sin,label_free_to_explicit_catholic,3,0.09227351365093302,0.0612807713258803,0.145426835473717,-0.04028959605873827,-0.0553243322833751,-0.0131693288224262,0.13256310970967133,0.1166051036092555,0.1585961642961432,0.022736363955121693,1.0,1.0
sin_rule_breaking,sin,general_to_integrative,3,0.16255844909358513,0.1434221281480046,0.1985981178729422,-0.0809374788050088,-0.0886864225956038,-0.0733942607565558,0.24349592789859398,0.2190493620163645,0.2793298709358091,0.03171260329505014,1.0,1.0
original_sin_generic_corruption,original sin,bare_to_general,3,0.10187405433727449,0.060622456799954,0.1350698179994351,0.2580859797408757,0.2308106251718953,0.2792328272750637,-0.15621192540360115,-0.1701881683719412,-0.1441630092756285,0.013119190830965813,0.0,1.0
original_sin_generic_corruption,original sin,general_to_ambiguous,3,-0.11338536389641928,-0.1643719251265786,-0.0412917306907445,-0.2491596094953842,-0.2725936311212706,-0.2044547323908353,0.13577424559896492,0.1060585398474681,0.1631630017000908,0.028623258233051164,1.0,0.0
original_sin_generic_corruption,original sin,general_to_label_free_theological,3,0.20714787868938067,0.1745508331332302,0.2475235364973297,-0.17290704467992968,-0.2100045566976884,-0.1527058600472557,0.3800549233693104,0.3520751264848378,0.4035342537921748,0.026023087722006122,1.0,1.0
original_sin_generic_corruption,original sin,label_free_to_explicit_catholic,3,0.08071474276394767,0.0726347234125546,0.0890908669464286,-0.024863030651658468,-0.0390805918265868,-0.0125972386830968,0.10557777341560616,0.1016881056295254,0.1117153152391414,0.0053782837787709065,1.0,1.0
original_sin_generic_corruption,original sin,general_to_integrative,3,0.1263377171550626,0.0924879634513934,0.1540978593016089,-0.028687553507196234,-0.0443704695172562,-0.0098407542116873,0.15502527066225888,0.1368584329686496,0.1642787655048307,0.01573386219857645,1.0,1.0
guilt_psychological,guilt,bare_to_general,3,0.0648248070218821,0.0401378985011667,0.0864333832179779,0.23906675294837024,0.2271018507105484,0.2584653531166192,-0.17424194592648812,-0.1869639522093817,-0.1637299156714414,0.011773619196930462,0.0,1.0
guilt_psychological,guilt,general_to_ambiguous,3,-0.012004978712405497,-0.0714925734673914,0.0966422968835518,-0.2399354449538794,-0.2519132217327862,-0.2186612860195557,0.22793046624147387,0.1777392536419049,0.3153035829031075,0.07594640652151738,1.0,0.3333333333333333
guilt_psychological,guilt,general_to_label_free_theological,3,0.27566170081468294,0.2488639873685991,0.301966673718524,-0.20264890507961794,-0.2163478202757259,-0.1929586767158092,0.4783106058943009,0.4475042056159178,0.4949253504343333,0.026706620217076905,1.0,1.0
guilt_psychological,guilt,label_free_to_explicit_catholic,3,0.0922448096648229,0.0841885268362353,0.0977842909583254,-0.07769698617106986,-0.0871663197790634,-0.0651083617109344,0.16994179583589278,0.1598699729108424,0.1786005679815372,0.009444910391553147,1.0,1.0
guilt_psychological,guilt,general_to_integrative,3,0.19322536085224118,0.1542339346230292,0.2555683486221216,-0.0747413274550297,-0.0852836913288973,-0.0676688878858845,0.26796668830727094,0.2219028225089138,0.3268397517724289,0.0536283175147643,1.0,1.0
shame_affective,shame,bare_to_general,3,0.11982137819248162,0.1114955858122201,0.1270420570213656,0.3022287127836374,0.2887171753756546,0.3096294860420912,-0.18240733459115568,-0.1968438911209462,-0.1677906836317954,0.014527440994703213,0.0,1.0
shame_affective,shame,general_to_ambiguous,3,-0.004743355002054299,-0.0625914531443933,0.100437027351249,-0.23593940825192547,-0.2376916093930543,-0.2328846847033282,0.23119605324987116,0.175100156248661,0.3376789580106429,0.09226106767652345,1.0,0.3333333333333333
shame_affective,shame,general_to_label_free_theological,3,0.30321649663098404,0.2746983546436965,0.3211591997876167,-0.2373891203864776,-0.2598393679902121,-0.2217069272689584,0.5406056170174617,0.496405281912655,0.5736313034518511,0.03980727547036521,1.0,1.0
shame_affective,shame,label_free_to_explicit_catholic,3,0.06903855171722946,0.0635620686302641,0.0758684702032914,-0.04366449685507623,-0.0536776286288148,-0.0316083012963548,0.11270304857230569,0.0951703699266189,0.1215760308433505,0.015184119602008295,1.0,1.0
shame_affective,shame,general_to_integrative,3,0.22258492530772958,0.1904655196008167,0.253588724622554,-0.08953215259586837,-0.104094588474653,-0.0812068669925148,0.31211707790359805,0.2716723865933316,0.3368837269429913,0.03531968975847966,1.0,1.0
salvation_rescue,salvation,bare_to_general,3,0.03140949274914753,0.0200594095580641,0.0466419602982717,0.21952161456255703,0.206028813776411,0.241184530139048,-0.18811212181340944,-0.1945425698407763,-0.1785017053853042,0.008480063820041583,0.0,1.0
salvation_rescue,salvation,general_to_ambiguous,3,-0.05337292108128603,-0.0915374209154124,-0.0153197663903208,-0.28126070359752564,-0.2955195824166198,-0.2676812423270568,0.22788778251623956,0.2039821615012073,0.2652615196585795,0.03278463890389613,1.0,0.0
salvation_rescue,salvation,general_to_label_free_theological,3,0.2716969006037842,0.2440851264237109,0.2899455286112704,-0.2348037251692433,-0.283807522201299,-0.1955133461205339,0.5065006257730276,0.4395984725442449,0.5648675689776703,0.0630691999943621,1.0,1.0
salvation_rescue,salvation,label_free_to_explicit_catholic,3,0.07608167292625033,0.0698514653256279,0.0831620876831967,-0.07444698632547384,-0.0841218851648208,-0.0666067283129726,0.15052865925172418,0.142463810824256,0.1593533509347472,0.00847036968589518,1.0,1.0
salvation_rescue,salvation,general_to_integrative,3,0.15247424193329948,0.1202475391146999,0.2014796903458406,-0.07009771887636297,-0.0907399967225708,-0.0552335492167241,0.22257196080966254,0.200015107029152,0.2567132395625648,0.030071892767995843,1.0,1.0
redemption_financial,redemption,bare_to_general,3,-0.0479348266121978,-0.0836076904619285,-0.0159226920962867,0.227661120939998,0.2168997651498764,0.2425115559312124,-0.2755959475521958,-0.300507455611805,-0.2584342480274991,0.022081289553689456,0.0,0.0
redemption_financial,redemption,general_to_ambiguous,3,0.0078903806444044,-0.052270607645811,0.1143771845055703,-0.29056103875856787,-0.3155989582646889,-0.2691253379357259,0.29845141940297226,0.2346882124294777,0.3835025224412963,0.07665706494005395,1.0,0.3333333333333333
redemption_financial,redemption,general_to_label_free_theological,3,0.34711192372307087,0.3187388679754481,0.3851145302581825,-0.31183732738204983,-0.3476185951843437,-0.2828116017983081,0.6589492511051208,0.6015504697737563,0.6901963154216803,0.049774046598360065,1.0,1.0
redemption_financial,redemption,label_free_to_explicit_catholic,3,0.05116867675250386,0.0443359587993756,0.0549344129084884,-0.027506978398024868,-0.0329271400213879,-0.0219736373124161,0.0786756551505288,0.0719561166596463,0.0878615529298764,0.008234556566168963,1.0,1.0
redemption_financial,redemption,general_to_integrative,3,0.21413849557535855,0.1661708778251447,0.2747184333491845,-0.0779597857581123,-0.0870344681559376,-0.0716207847847688,0.2920982813334709,0.2532053459810823,0.3463392181339533,0.048426752904617204,1.0,1.0
justification_legal_acquittal,justification,bare_to_general,3,0.056022863935643465,0.0403791129772056,0.084979636963842,0.16592684149219553,0.146481194910945,0.1836451455350154,-0.10990397755655197,-0.1432660325578097,-0.0615015579471029,0.04290707112763268,0.0,1.0
justification_legal_acquittal,justification,general_to_ambiguous,3,-0.061052368252109496,-0.1543774743202147,0.0442875761386532,-0.267529797962122,-0.3057082271926176,-0.2377863445418016,0.20647742971001248,0.1047173478317322,0.2820739206804548,0.09152725605007281,1.0,0.3333333333333333
justification_legal_acquittal,justification,general_to_label_free_theological,3,0.28694622482436966,0.2466071088260006,0.3110810256422576,-0.29647509535858335,-0.3231017588706036,-0.2725435114993694,0.5834213201829531,0.5191506203253702,0.6341827845128614,0.05869390328493346,1.0,1.0
justification_legal_acquittal,justification,label_free_to_explicit_catholic,3,0.1012046157037134,0.0978795624417606,0.1037328389692416,-0.056504925102908936,-0.0738338145180564,-0.0404358522256593,0.1577095408066224,0.1383154146674199,0.1775666534872981,0.019629714838146968,1.0,1.0
justification_legal_acquittal,justification,general_to_integrative,3,0.21880706900166635,0.1864822583738231,0.2353126599125514,-0.11177007739805479,-0.1236158923742057,-0.095240939520103,0.3305771463997212,0.3100981507480289,0.3517660602124071,0.020843024195864333,1.0,1.0
sanctification_self_improvement,sanctification,bare_to_general,3,-0.013327754680847232,-0.0178318648121569,-0.0057915832891297,0.23467411499887295,0.2214792126911005,0.2565901021907572,-0.24800186967972018,-0.2623816854798869,-0.2378390286323556,0.012803228434002353,0.0,0.0
sanctification_self_improvement,sanctification,general_to_ambiguous,3,-0.0600774763659877,-0.1061737749672924,-0.011613381460128,-0.24365631184317885,-0.2673022277178086,-0.2214012852439442,0.1835788354771911,0.1589560125734014,0.2306520411076557,0.040781060436516234,1.0,0.0
sanctification_self_improvement,sanctification,general_to_label_free_theological,3,0.20027066864133816,0.1802221140052977,0.2105895972860559,-0.22044457773687945,-0.2710954856869736,-0.1787072576577146,0.4207152463782176,0.3589293716630124,0.4810957803196345,0.061095327874004,1.0,1.0
sanctification_self_improvement,sanctification,label_free_to_explicit_catholic,3,0.07622789827831583,0.0720119304982926,0.0813400006412295,-0.057554959255612166,-0.0695516068217395,-0.0408428349291288,0.1337828575339281,0.1128547654274215,0.1508916074629691,0.019303908127908345,1.0,1.0
sanctification_self_improvement,sanctification,general_to_integrative,3,0.1115235358426323,0.0912991133390178,0.1448120751988436,-0.05692492310568214,-0.0759461102304589,-0.0402267409423144,0.16844845894831453,0.1530613371343087,0.1850388161411581,0.01602265965565764,1.0,1.0
atonement_reparation,atonement,bare_to_general,3,-0.0125392092890267,-0.0339344000233112,0.0022050169153032,0.2004502785450172,0.1910108505751981,0.2123522679342433,-0.2129894878340439,-0.2249452505985094,-0.1957827002103069,0.015273949484027636,0.0,0.3333333333333333
atonement_reparation,atonement,general_to_ambiguous,3,-0.07017431106082833,-0.1182190758197016,0.0069303359857135,-0.2860374345887133,-0.3349195968110453,-0.2277010032020874,0.21586312352788495,0.1962575104045103,0.234631339187801,0.0192006148275565,1.0,0.3333333333333333
atonement_reparation,atonement,general_to_label_free_theological,3,0.254040954334477,0.2286761172853967,0.2734309595871522,-0.23964793233636664,-0.2717940546632392,-0.2099495197789278,0.4936888866708437,0.4386256370643245,0.5318098407941213,0.04884777362756844,1.0,1.0
atonement_reparation,atonement,label_free_to_explicit_catholic,3,0.050999153053978,0.0462222773367581,0.0560264459214466,-0.02964084765503343,-0.0379970252705759,-0.0172751646424618,0.08064000070901146,0.0680239005461911,0.0896767989735093,0.011261463232433036,1.0,1.0
atonement_reparation,atonement,general_to_integrative,3,0.16236850363349956,0.1433259173574126,0.1863360323183731,-0.05597513158752596,-0.0675297366252468,-0.0439840327096959,0.2183436352210256,0.2108556539826594,0.2303200650280691,0.010479763940634011,1.0,1.0
repentance_regret,repentance,bare_to_general,3,-0.0172599325222861,-0.0383494482150266,0.0213945306026828,0.2223738293987461,0.2044653819121051,0.2417510516625718,-0.23963376192103225,-0.2557299345760759,-0.220356521059889,0.017899971847622594,0.0,0.3333333333333333
repentance_regret,repentance,general_to_ambiguous,3,-0.01377876607240787,-0.1005350062971069,0.0580365916320476,-0.26122333187860985,-0.2778235892038505,-0.2372381659015816,0.24744456580620197,0.1680732342332904,0.3358601808358982,0.08425831804630085,1.0,0.6666666666666666
repentance_regret,repentance,general_to_label_free_theological,3,0.24560614485884455,0.2167528314925322,0.2752702395924609,-0.24176087337542274,-0.2935339262149994,-0.1780792023209478,0.4873670182342673,0.4228745658124884,0.5289397311827819,0.05662544189142069,1.0,1.0
repentance_regret,repentance,label_free_to_explicit_catholic,3,0.07799140643295614,0.0679341457745021,0.0860629804111728,-0.0515696526699135,-0.0769349767919241,-0.0275984046482684,0.12956105910286972,0.1075754977614619,0.162997957203097,0.02943233065546865,1.0,1.0
repentance_regret,repentance,general_to_integrative,3,0.1393715343479719,0.0924157645276342,0.165885582767843,-0.07063429741122716,-0.0772494161260004,-0.0578387890266529,0.21000583175919907,0.1696651806536346,0.2427002698488712,0.03711306365085403,1.0,1.0
conversion_change_opinion,conversion,bare_to_general,3,0.21238159907575915,0.2032536298597361,0.2235234908803613,0.33711020633964145,0.3255518157046309,0.3556758933860999,-0.1247286072638823,-0.1321524025057386,-0.1197352334410136,0.006555664199827211,0.0,1.0
conversion_change_opinion,conversion,general_to_ambiguous,3,-0.11916228357763255,-0.2035463074705703,0.0149350606868134,-0.2628665462363004,-0.297280925613318,-0.194635303517801,0.14370426265866784,0.0937346181427477,0.2095703642046145,0.05953152967972462,1.0,0.3333333333333333
conversion_change_opinion,conversion,general_to_label_free_theological,3,0.22045340192868138,0.1985007381752146,0.231811822694842,-0.25938281527569546,-0.2915059346291811,-0.2299824936422773,0.47983621720437686,0.4551607557308425,0.5233177573240231,0.0377703013236063,1.0,1.0
conversion_change_opinion,conversion,label_free_to_explicit_catholic,3,0.11749322555771691,0.1034095152958648,0.1433790911033049,-0.024014226300594466,-0.0275112133306507,-0.0197205352974562,0.14150745185831143,0.1231300505933211,0.1708903044339556,0.025711873339837363,1.0,1.0
conversion_change_opinion,conversion,general_to_integrative,3,0.17543495789213068,0.1702334798086752,0.1827041782132012,-0.10576020479289479,-0.1135987341860541,-0.0926198874130904,0.28119516268502553,0.2753240656262917,0.2844292084340556,0.005093273612810487,1.0,1.0
faith_belief,faith,bare_to_general,3,0.08978501846857874,0.0532005716755226,0.1263285210411314,0.3119636659069901,0.3038322425536299,0.3274290981084818,-0.22217864743841131,-0.2506316708781073,-0.2011005770673503,0.02557586290031929,0.0,1.0
faith_belief,faith,general_to_ambiguous,3,-0.0450678887454641,-0.1033913862004619,0.019475525682721,-0.295611939127092,-0.3177730236609997,-0.2632083816503316,0.25054405038162786,0.2024630258694827,0.3372485493437208,0.07523705150054341,1.0,0.3333333333333333
faith_belief,faith,general_to_label_free_theological,3,0.31835251257086966,0.2923992669401362,0.3676490375018927,-0.26084625223407065,-0.2964552251989074,-0.2376909902393156,0.5791987648049403,0.5300902571794518,0.6160415787658816,0.04426898294989225,1.0,1.0
faith_belief,faith,label_free_to_explicit_catholic,3,0.07330844150145147,0.0665801194081787,0.0805375526409507,-0.0418434597171474,-0.0580858563278474,-0.0273113209933907,0.1151519012185989,0.0938914404015694,0.1308935087830724,0.019108416262076572,1.0,1.0
faith_belief,faith,general_to_integrative,3,0.20303545132519327,0.1516641964637614,0.2574599371104641,-0.08035723495156656,-0.0814238163802605,-0.0785222048588862,0.2833926862767599,0.2327898800793144,0.3388837534907246,0.053215588089236585,1.0,1.0
resurrection_generic_rebirth,resurrection,bare_to_general,3,-0.005643416018733967,-0.008151786412469,-0.0033434325332474,0.18753357829172432,0.1714240786843395,0.2074974948324247,-0.1931769943104583,-0.2108409273656721,-0.1795758650968085,0.0160236016850223,0.0,0.0
resurrection_generic_rebirth,resurrection,general_to_ambiguous,3,-0.032136873879240996,-0.0504866480261314,0.0019552441286597,-0.21447359424473922,-0.2424317528900984,-0.1833074666073959,0.1823367203654982,0.1671949152105919,0.194552535149847,0.013911538625243013,1.0,0.3333333333333333
resurrection_generic_rebirth,resurrection,general_to_label_free_theological,3,0.24861069727224117,0.2249058099091133,0.2660874077898557,-0.21392064608434316,-0.2524020580609348,-0.1884992645140444,0.46253134335658436,0.4134050744231577,0.5184894658507906,0.0528742659309417,1.0,1.0
resurrection_generic_rebirth,resurrection,label_free_to_explicit_catholic,3,0.07225319725047742,0.0636606500024733,0.0825297726703321,-0.053424079930521666,-0.0599438581594643,-0.0492842942835277,0.12567727718099916,0.1129449442860011,0.1424736308297964,0.015178044365658967,1.0,1.0
resurrection_generic_rebirth,resurrection,general_to_integrative,3,0.13056255110106885,0.1100363983823471,0.1516598016446225,-0.03842581012371323,-0.0634951622423768,-0.0192224770484732,0.1689883612247821,0.1625512443565266,0.1735315606247239,0.005729923984661361,1.0,1.0
judgment_after_death_generic,judgment after death,bare_to_general,3,-0.023765911682194,-0.0296297109912542,-0.0178876458556592,0.18561370743155356,0.178626880415734,0.1904059003296598,-0.20937961911374758,-0.2174380525405211,-0.1965145262713933,0.011259505714584627,0.0,0.0
judgment_after_death_generic,judgment after death,general_to_ambiguous,3,-0.05543697205413737,-0.0906938928118028,0.0114752710036981,-0.24657704421214463,-0.2611556972730781,-0.2288359053729572,0.1911400721580072,0.1626472356360911,0.2403111763766554,0.0427623080415657,1.0,0.3333333333333333
judgment_after_death_generic,judgment after death,general_to_label_free_theological,3,0.20474554984084117,0.1889435247276731,0.2148920296658945,-0.22047640782306466,-0.2574696856136156,-0.191099271231567,0.42522195766390586,0.3800427959592402,0.4723617152795101,0.04619067728838925,1.0,1.0
judgment_after_death_generic,judgment after death,label_free_to_explicit_catholic,3,0.07551562929679423,0.067136906507897,0.0823058315184576,-0.06335564550464956,-0.0906307780914564,-0.0356469185502135,0.13887127480144384,0.1179527500686711,0.1577676845993535,0.019984342984646217,1.0,1.0
judgment_after_death_generic,judgment after death,general_to_integrative,3,0.12300386365751437,0.1116016014937737,0.1338907448987453,-0.07427670863140386,-0.0939401962012462,-0.0579231187893325,0.19728057228891827,0.1695247202831062,0.2278309410999915,0.02925339022434857,1.0,1.0
heaven_happy_afterlife,heaven,bare_to_general,3,0.0778611934946306,0.0676046411805921,0.0884188009112184,0.2555552343120828,0.2407113325900437,0.2739628934019733,-0.1776940408174522,-0.196402755009892,-0.1522925316788252,0.022804014530843644,0.0,1.0
heaven_happy_afterlife,heaven,general_to_ambiguous,3,-0.07501268083769556,-0.1095832253576427,-0.0142540454101749,-0.3076715065675577,-0.325679552026923,-0.2954920084956206,0.23265882572986216,0.1922597338224869,0.2812379630854456,0.04504959687215828,1.0,0.0
heaven_happy_afterlife,heaven,general_to_label_free_theological,3,0.2780960393673631,0.2473476398749382,0.2951656183028149,-0.25728607801488235,-0.3139523038463108,-0.1956299523893221,0.5353821173822455,0.4429775922642603,0.6057271637706471,0.08358720720148412,1.0,1.0
heaven_happy_afterlife,heaven,label_free_to_explicit_catholic,3,0.0583642376075205,0.0552460106900514,0.0604969103830858,-0.046094011928049405,-0.0610204542505963,-0.0299631687954548,0.10445824953556988,0.0852091794855062,0.1215173646336821,0.018252890297353944,1.0,1.0
