audit_id,concept,primary_locus,life_death_module,comparison_register,relationship_type,condition,query_count,mean_s_c,mean_s_r,mean_cas,median_cas
virtue_character_psychology,virtue,Freedom Truth and Moral Teleology,false,positive character traits,valid_but_partial,integrative,3,0.6417733288541209,0.6853171600948041,-0.04354383124068343,-0.06306897036395498
obedience_compliance,obedience,Freedom Truth and Moral Teleology,false,institutional compliance,valid_but_partial,bare,1,0.45562713864684007,0.5534090248673645,-0.09778188622052447,-0.09778188622052447
obedience_compliance,obedience,Freedom Truth and Moral Teleology,false,institutional compliance,valid_but_partial,natural_general,3,0.5040538774588578,0.766885424455089,-0.26283154699623124,-0.26602381476495673
obedience_compliance,obedience,Freedom Truth and Moral Teleology,false,institutional compliance,valid_but_partial,natural_ambiguous,3,0.4808963376726649,0.5070466042611822,-0.026150266588517306,-0.045805769547914876
obedience_compliance,obedience,Freedom Truth and Moral Teleology,false,institutional compliance,valid_but_partial,label_free_theological,3,0.8150329090374576,0.5369715523615194,0.27806135667593823,0.2696897800868263
obedience_compliance,obedience,Freedom Truth and Moral Teleology,false,institutional compliance,valid_but_partial,explicit_catholic,3,0.9116853647062677,0.4630276274239191,0.4486577372823486,0.45181504324351757
obedience_compliance,obedience,Freedom Truth and Moral Teleology,false,institutional compliance,valid_but_partial,integrative,3,0.7176439715287074,0.6698766578849389,0.047767313643768516,0.046866053106572325
rights_legal_entitlements,rights,Freedom Truth and Moral Teleology,false,legal entitlements,complementary_levels,bare,1,0.36568362629518586,0.3955939903217867,-0.029910364026600855,-0.029910364026600855
rights_legal_entitlements,rights,Freedom Truth and Moral Teleology,false,legal entitlements,complementary_levels,natural_general,3,0.47068445717649204,0.719322488720629,-0.248638031544137,-0.23617369414007755
rights_legal_entitlements,rights,Freedom Truth and Moral Teleology,false,legal entitlements,complementary_levels,natural_ambiguous,3,0.4378250201449167,0.4376874488587264,0.00013757128619024117,-0.036347651604371256
rights_legal_entitlements,rights,Freedom Truth and Moral Teleology,false,legal entitlements,complementary_levels,label_free_theological,3,0.7846175314944527,0.4949964024561206,0.289621129038332,0.28169630882643915
rights_legal_entitlements,rights,Freedom Truth and Moral Teleology,false,legal entitlements,complementary_levels,explicit_catholic,3,0.8912658244016828,0.42041951937222705,0.47084630502945585,0.4853727345491263
rights_legal_entitlements,rights,Freedom Truth and Moral Teleology,false,legal entitlements,complementary_levels,integrative,3,0.662421055481983,0.6172191292005292,0.04520192628145384,0.036105112019081065
justice_procedural,justice,Freedom Truth and Moral Teleology,false,procedural fairness,valid_but_partial,bare,1,0.3897828659201364,0.45664069033230165,-0.06685782441216526,-0.06685782441216526
justice_procedural,justice,Freedom Truth and Moral Teleology,false,procedural fairness,valid_but_partial,natural_general,3,0.44876693961961683,0.7550056606023053,-0.3062387209826884,-0.3019037340385821
justice_procedural,justice,Freedom Truth and Moral Teleology,false,procedural fairness,valid_but_partial,natural_ambiguous,3,0.4449039885309541,0.4663300121771325,-0.021426023646178367,-0.057693384403780745
justice_procedural,justice,Freedom Truth and Moral Teleology,false,procedural fairness,valid_but_partial,label_free_theological,3,0.792217887482663,0.5289652067461716,0.2632526807364914,0.24730785897282148
