query_id,audit_id,concept,condition,omitted_reference_count,full_cas,min_loro_cas,max_loro_cas,mean_loro_cas,max_absolute_cas_change,sign_stability_proportion
family_household_natural_ambiguous_p2,family_household,family,natural_ambiguous,6,-0.0916944960151497,-0.1159526294893467,-0.0588370650024157,-0.09169449601514978,0.032857431012734,1.0
family_household_natural_ambiguous_p3,family_household,family,natural_ambiguous,6,-0.0204240180865602,-0.04809704516625113,-0.0020261213294006097,-0.020424018086560396,0.02767302707969093,1.0
family_household_label_free_theological_p1,family_household,family,label_free_theological,6,0.3050122661538892,0.2835451521922371,0.32364926168620034,0.30501226615388927,0.02146711396165213,1.0
family_household_label_free_theological_p2,family_household,family,label_free_theological,6,0.3800478119359286,0.3579283843571275,0.3988299161419786,0.38004781193592857,0.022119427578801143,1.0
family_household_label_free_theological_p3,family_household,family,label_free_theological,6,0.2960842546871678,0.2736384856312515,0.32923940115866257,0.29608425468716787,0.033155146471494756,1.0
family_household_explicit_catholic_p1,family_household,family,explicit_catholic,6,0.4780039245007261,0.4627488540166725,0.4938743119853812,0.4780039245007261,0.01587038748465508,1.0
family_household_explicit_catholic_p2,family_household,family,explicit_catholic,6,0.494275797666341,0.47355713422638696,0.5116519008036018,0.49427579766634105,0.020718663439954044,1.0
family_household_explicit_catholic_p3,family_household,family,explicit_catholic,6,0.4424028466613421,0.4259058906306097,0.46742848395245595,0.44240284666134216,0.025025637291113845,1.0
family_household_integrative_p1,family_household,family,integrative,6,0.1060870353960745,0.08625109555043842,0.12511299974532497,0.10608703539607454,0.019835939845636086,1.0
family_household_integrative_p2,family_household,family,integrative,6,0.0401456185250953,0.006700632107213389,0.07306062114762757,0.040145618525095406,0.03344498641788191,1.0
family_household_integrative_p3,family_household,family,integrative,6,0.0500047100493655,0.028257342259035645,0.06840951109443716,0.05000471004936561,0.021747367790329854,1.0
marriage_civil_contract_bare_p1,marriage_civil_contract,marriage,bare,6,-0.0624767879922858,-0.07126649215458525,-0.0531702631564554,-0.06247678799228589,0.009306524835830401,1.0
marriage_civil_contract_natural_general_p1,marriage_civil_contract,marriage,natural_general,6,-0.2939189577994165,-0.32057539771296034,-0.2694728487238633,-0.2939189577994166,0.026656439913543828,1.0
marriage_civil_contract_natural_general_p2,marriage_civil_contract,marriage,natural_general,6,-0.2725203546341688,-0.32603045553859583,-0.1971905707530482,-0.27252035463416885,0.0753297838811206,1.0
marriage_civil_contract_natural_general_p3,marriage_civil_contract,marriage,natural_general,6,-0.2937574671662644,-0.3127444858537996,-0.28248170348611895,-0.2937574671662644,0.018987018687535218,1.0
