audit_id,concept,condition,paraphrase_count,mean_s_c,min_s_c,max_s_c,mean_s_r,min_s_r,max_s_r,mean_cas,min_cas,max_cas,cas_standard_deviation,positive_cas_proportion
flourishing_psychological,flourishing,natural_ambiguous,3,0.5327556886436456,0.4875104209405174,0.6213752898391279,0.5309319298550572,0.5275734307896849,0.532613249348988,0.0018237587885884348,-0.0432277542752072,0.0887620404901399,0.07530738689354635,0.3333333333333333
flourishing_psychological,flourishing,label_free_theological,3,0.7950031351668706,0.7795259667131821,0.8190180991615588,0.5634110796106674,0.544977954490346,0.595832737459764,0.23159205555620307,0.1836932292534181,0.2695955522796663,0.043797721812201845,1.0
flourishing_psychological,flourishing,explicit_catholic,3,0.9158903301680953,0.8887439727754094,0.9326311753700786,0.49021291198882766,0.4864761046775636,0.4946215820779939,0.4256774181792676,0.3992029235644838,0.4461550706925149,0.02404366062761951,1.0
flourishing_psychological,flourishing,integrative,3,0.7166083727451044,0.7010781320496768,0.7446053503268492,0.6884273372501548,0.6760040363409043,0.7101503797096572,0.028181035494949564,-0.0090722476599803,0.0686013139859448,0.03893350663997306,0.6666666666666666
virtue_character_psychology,virtue,natural_general,3,0.5162936708812998,0.5128116977551932,0.5194055026028663,0.747747753422387,0.7363818865743954,0.7640745065913305,-0.23145408254108712,-0.2446690039884641,-0.2235701888192022,0.011515419785841209,0.0
virtue_character_psychology,virtue,natural_ambiguous,3,0.45821649440488793,0.4125579889624364,0.5338717655493058,0.4878860145416151,0.4709980512201701,0.5088003712600087,-0.029669520136727166,-0.0584400622577337,0.0250713942892971,0.04742769256349688,0.3333333333333333
virtue_character_psychology,virtue,label_free_theological,3,0.7880348964995672,0.7589786377286335,0.8050949325223749,0.5233442366314073,0.4935762138119989,0.5590385979543765,0.26469065986815976,0.199940039774257,0.3115187187103759,0.05790823818462896,1.0
virtue_character_psychology,virtue,explicit_catholic,3,0.873515372150702,0.8571381125929105,0.8841761792604791,0.47186507823858626,0.449054768833853,0.5083053253836091,0.4016502939121156,0.3488327872093014,0.435121410426626,0.04628329865268817,1.0
virtue_character_psychology,virtue,integrative,3,0.6417733288541209,0.6016702699766014,0.6969262383639953,0.6853171600948041,0.6647392403405564,0.7160738313512099,-0.043543831240683395,-0.0893503531294441,0.0217878297713488,0.058084827777655106,0.3333333333333333
obedience_compliance,obedience,natural_general,3,0.5040538774588578,0.4904412594249732,0.5209016628200438,0.766885424455089,0.7643235306053887,0.7694902178633652,-0.2628315469962312,-0.2738822711804154,-0.2485885550433214,0.012945499184519895,0.0
obedience_compliance,obedience,natural_ambiguous,3,0.4808963376726649,0.4378261511734445,0.5504975352046824,0.5070466042611822,0.5001710961877825,0.5147287251785982,-0.026150266588517268,-0.0684138402437211,0.0357688100260841,0.05480200955941578,0.3333333333333333
obedience_compliance,obedience,label_free_theological,3,0.8150329090374576,0.7976868157049345,0.8340482663279071,0.5369715523615194,0.5205808557262012,0.546659936365652,0.27806135667593823,0.2510268793392824,0.3134674106017059,0.032051013354088304,1.0
obedience_compliance,obedience,explicit_catholic,3,0.9116853647062677,0.9020660322417654,0.9194595312991994,0.46302762742391906,0.4497768276459715,0.4775905672914651,0.44865773728234853,0.4244754649503002,0.4696827036532279,0.022768400108158584,1.0
obedience_compliance,obedience,integrative,3,0.7176439715287074,0.6992834710768081,0.741353438785823,0.6698766578849389,0.6287638462063727,0.6944873856792507,0.047767313643768496,0.0259162629542978,0.0705196248704354,0.022315335006950238,1.0
rights_legal_entitlements,rights,natural_general,3,0.47068445717649193,0.4428692324725153,0.4910655957838759,0.719322488720629,0.7142922374131624,0.7261646014097843,-0.2486380315441369,-0.2746413948664249,-0.2350990056259084,0.022525983150659738,0.0
rights_legal_entitlements,rights,natural_ambiguous,3,0.4378250201449167,0.3830216801010563,0.5353220582528213,0.4376874488587264,0.4256623965571341,0.4559209763338015,0.0001375712861902643,-0.0728992962327451,0.1096596616956871,0.09659359138684735,0.3333333333333333
rights_legal_entitlements,rights,label_free_theological,3,0.7846175314944527,0.7671590804225724,0.8031999140012509,0.4949964024561206,0.4872298863075004,0.5017972912330954,0.289621129038332,0.2711970505948064,0.3159700276937505,0.02341488738214989,1.0
rights_legal_entitlements,rights,explicit_catholic,3,0.8912658244016828,0.8741839224829177,0.9006899664546616,0.42041951937222705,0.413550849718343,0.4336682324257623,0.4708463050294558,0.4405156900571553,0.4866504904820859,0.026274851445907542,1.0
rights_legal_entitlements,rights,integrative,3,0.662421055481983,0.6241842942697688,0.716460100951152,0.6172191292005292,0.5932100939896358,0.6479336344060046,0.04520192628145383,-0.0237493401362357,0.1232500069615162,0.07392067392877595,0.6666666666666666
justice_procedural,justice,natural_general,3,0.44876693961961683,0.4298804513895372,0.4629867792325893,0.7550056606023053,0.7504470045432791,0.7592326549883305,-0.3062387209826884,-0.3205665531537419,-0.2962458757557412,0.012726661821883398,0.0
justice_procedural,justice,natural_ambiguous,3,0.44490398853095403,0.4001946732026289,0.5234681631564736,0.4663300121771325,0.4578880576064097,0.4819421176202811,-0.021426023646178367,-0.0708929883865214,0.064308301851767,0.0745408499600456,0.3333333333333333
justice_procedural,justice,label_free_theological,3,0.792217887482663,0.776935208652807,0.8148485940872939,0.5289652067461716,0.5050530223277996,0.5442805971756486,0.26325268073649133,0.2326546114771583,0.3097955717594943,0.040967791545635415,1.0
