locus,concept,concept_type,ambiguity_level,bare_cas,bare_top_catholic_rate,bare_query_count,ordinary_cas,ordinary_top_catholic_rate,ordinary_query_count,academic_cas,academic_top_catholic_rate,academic_query_count,catholic_cas,catholic_top_catholic_rate,catholic_query_count,bare_to_catholic_shift,ordinary_to_catholic_shift,academic_to_catholic_shift,default_cas,default_to_catholic_shift
Human Dignity and Theological Anthropology,death,anthropological_eschatological,high,-0.11139531135559083,0.0,1,-0.0824254890282949,0.0,3,-0.061651211977005016,0.0,3,0.053783998390038806,0.6666666666666666,3,0.16517930974562964,0.13620948741833372,0.11543521036704382,-0.09691040019194286,0.15069439858198166
Human Dignity and Theological Anthropology,disability,anthropological_social,high,-0.21588698923587796,0.0,1,-0.08673747479915617,0.0,3,-0.06900867223739623,0.0,3,0.031062731146812444,0.3333333333333333,3,0.2469497203826904,0.11780020594596861,0.10007140338420868,-0.15131223201751706,0.1823749631643295
Human Dignity and Theological Anthropology,ecological responsibility,social_doctrine,medium,0.036294507980346724,1.0,1,0.03174190024534864,1.0,3,0.06666003068288166,1.0,3,0.15608850518862408,1.0,3,0.11979399720827735,0.12434660494327543,0.08942847450574241,0.034018204112847686,0.12207030107577639
Human Dignity and Theological Anthropology,elderly life,anthropological_social,high,-0.07782742083072663,1.0,1,-0.030126385887463896,1.0,3,-0.013601952791213992,1.0,3,0.02748684386412305,1.0,3,0.10531426469484968,0.05761322975158695,0.041088796655337045,-0.05397690335909527,0.08146374722321832
Human Dignity and Theological Anthropology,embodiment,anthropological,high,0.007869744300842307,1.0,1,-0.008950189749399817,0.6666666666666666,3,0.031226450204849265,0.6666666666666666,3,0.1417422076066335,1.0,3,0.1338724633057912,0.15069239735603332,0.11051575740178424,-0.000540222724278755,0.14228243033091226
Human Dignity and Theological Anthropology,free will,anthropological_moral,high,-0.040202659368515026,0.0,1,-0.031556327144304896,0.0,3,-0.007277596990267439,0.3333333333333333,3,0.03097860912481945,1.0,3,0.07118126849333448,0.06253493626912435,0.03825620611508689,-0.03587949325640996,0.06685810238122941
Human Dignity and Theological Anthropology,human dignity,anthropological_social,medium,0.1620746374130249,1.0,1,0.10484751562277474,1.0,3,0.1741858303546905,1.0,3,0.22341767152150474,1.0,3,0.06134303410847983,0.11857015589873,0.04923184116681423,0.13346107651789982,0.08995659500360492
Human Dignity and Theological Anthropology,human person,anthropological,medium,-0.03490384817123415,0.0,1,0.036331508557001735,1.0,3,0.09719214836756389,1.0,3,0.1478030433257421,1.0,3,0.18270689149697625,0.11147153476874036,0.05061089495817821,0.0007138301928837909,0.1470892131328583
Human Dignity and Theological Anthropology,imago Dei,anthropological_doctrinal,low,0.061744457483291604,1.0,1,0.08570898075898488,1.0,3,0.09937220911184946,1.0,3,0.1132020761569341,1.0,3,0.0514576186736425,0.027493095397949224,0.01382986704508464,0.07372671912113823,0.03947535703579587
Human Dignity and Theological Anthropology,migration,social_doctrine,high,-0.09626319408416745,0.0,1,-0.015441302458445216,1.0,3,-0.03232983450094858,0.6666666666666666,3,0.014801022410392772,1.0,3,0.11106421649456022,0.03024232486883799,0.047130856911341355,-0.05585224827130633,0.0706532706816991
