locus,concept,concept_type,ambiguity_level,query_condition,query_count,catholic_score,secular_score,catholic_alignment_score,top_catholic_rate,mean_nearest_catholic_rank,mean_nearest_secular_rank
Life and Death / Created Life,human life,anthropological_bioethical,high,bare,1,0.5480761110782624,0.5657740890979767,-0.01769797801971429,0.0,2.0,1.0
Life and Death / Created Life,human life,anthropological_bioethical,high,catholic,3,0.4457010785738627,0.2965162664651871,0.14918481210867562,1.0,1.0,4.666666666666667
Life and Death / Created Life,human life,anthropological_bioethical,high,ordinary,3,0.3647528946399689,0.3599847714106242,0.004768123229344686,0.3333333333333333,1.6666666666666667,1.3333333333333333
Life and Death / Created Life,life,anthropological_metaphysical,high,academic,3,0.301567060748736,0.2906898736953735,0.01087718705336251,0.6666666666666666,1.3333333333333333,2.0
Life and Death / Created Life,life,anthropological_metaphysical,high,bare,1,0.3208763599395752,0.38114999532699584,-0.06027363538742064,0.0,3.0,1.0
Life and Death / Created Life,life,anthropological_metaphysical,high,catholic,3,0.3802995453278224,0.21881434321403503,0.16148520211378734,1.0,1.0,4.333333333333333
Life and Death / Created Life,life,anthropological_metaphysical,high,ordinary,3,0.2457512180010478,0.2839280972878138,-0.038176879286766045,0.0,3.0,1.0
Life and Death / Created Life,sacredness of life,bioethical_doctrinal,medium,academic,3,0.5111174046993255,0.4205675045649211,0.09054990013440446,0.6666666666666666,1.3333333333333333,2.0
Life and Death / Created Life,sacredness of life,bioethical_doctrinal,medium,bare,1,0.5937792181968689,0.49627432227134705,0.0975048959255218,1.0,1.0,2.0
Life and Death / Created Life,sacredness of life,bioethical_doctrinal,medium,catholic,3,0.503730070590973,0.3784150987863541,0.1253149718046188,1.0,1.0,3.3333333333333335
Life and Death / Created Life,sacredness of life,bioethical_doctrinal,medium,ordinary,3,0.43346280058225,0.3726088017225266,0.0608539988597234,0.3333333333333333,1.6666666666666667,1.3333333333333333
Life and Death / Eschatology,eternal life,eschatological_doctrinal,low,academic,3,0.395734824736913,0.4230508327484131,-0.027316008011500064,0.6666666666666666,2.0,1.6666666666666667
Life and Death / Eschatology,eternal life,eschatological_doctrinal,low,bare,1,0.5452325582504273,0.5572634696960449,-0.012030911445617631,0.0,2.0,1.0
Life and Death / Eschatology,eternal life,eschatological_doctrinal,low,catholic,3,0.4283526023228963,0.3781130373477936,0.050239564975102756,1.0,1.0,4.0
Life and Death / Eschatology,eternal life,eschatological_doctrinal,low,ordinary,3,0.3998894532521566,0.39114236632982885,0.008747086922327674,1.0,1.0,2.0
Life and Death / Eschatology,heaven,eschatological_doctrinal,medium,academic,3,0.33734855254491175,0.30498011211554205,0.032368440429369615,0.0,2.0,1.0
Life and Death / Eschatology,heaven,eschatological_doctrinal,medium,bare,1,0.4130200743675232,0.42221684455871583,-0.009196770191192638,0.0,3.0,1.0
Life and Death / Eschatology,heaven,eschatological_doctrinal,medium,catholic,3,0.35613785982131957,0.25908315827449163,0.09705470154682794,1.0,1.0,2.3333333333333335
Life and Death / Eschatology,heaven,eschatological_doctrinal,medium,ordinary,3,0.3168225208918254,0.2845087339480718,0.032313786943753565,0.0,2.0,1.0
Life and Death / Eschatology,hell,eschatological_doctrinal,medium,academic,3,0.28614197274049125,0.3111002713441849,-0.024958298603693623,0.0,2.6666666666666665,1.0
Life and Death / Eschatology,hell,eschatological_doctrinal,medium,bare,1,0.18918074071407318,0.24758669435977937,-0.05840595364570619,0.0,5.0,1.0
Life and Death / Eschatology,hell,eschatological_doctrinal,medium,catholic,3,0.32140496869881946,0.28074167172114056,0.04066329697767895,0.3333333333333333,1.6666666666666667,1.3333333333333333
Life and Death / Eschatology,hell,eschatological_doctrinal,medium,ordinary,3,0.25692230264345806,0.2898820290962855,-0.03295972645282744,0.0,3.0,1.0
Life and Death / Eschatology,judgment after death,eschatological_moral,medium,academic,3,0.46370166540145874,0.3898280034462611,0.07387366195519766,0.0,2.0,1.0
Life and Death / Eschatology,judgment after death,eschatological_moral,medium,bare,1,0.5466444432735443,0.493159556388855,0.05348488688468933,0.0,2.0,1.0
Life and Death / Eschatology,judgment after death,eschatological_moral,medium,catholic,3,0.4345610419909159,0.35836381117502847,0.07619723081588743,0.0,2.0,1.0
Life and Death / Eschatology,judgment after death,eschatological_moral,medium,ordinary,3,0.4515927533308665,0.3647529770930608,0.08683977623780569,0.0,2.0,1.0
Life and Death / Eschatology,purgatory,eschatological_doctrinal,low,academic,3,0.37632388075192774,0.3395675102869669,0.03675637046496072,0.6666666666666666,1.3333333333333333,2.0
Life and Death / Eschatology,purgatory,eschatological_doctrinal,low,bare,1,0.46692524552345277,0.4401116371154785,0.026813608407974254,1.0,1.0,2.0
Life and Death / Eschatology,purgatory,eschatological_doctrinal,low,catholic,3,0.35229093432426456,0.3336022108793259,0.01868872344493866,0.0,2.0,1.0
Life and Death / Eschatology,purgatory,eschatological_doctrinal,low,ordinary,3,0.3483673950036367,0.32063230872154236,0.027735086282094312,0.6666666666666666,1.3333333333333333,1.6666666666666667
Life and Death / Eschatology,resurrection,eschatological_doctrinal,low,academic,3,0.42587855656941737,0.29487004578113557,0.13100851078828174,1.0,1.0,3.0
Life and Death / Eschatology,resurrection,eschatological_doctrinal,low,bare,1,0.5342490971088409,0.4122741103172302,0.12197498679161073,1.0,1.0,3.0
Life and Death / Eschatology,resurrection,eschatological_doctrinal,low,catholic,3,0.3966947237650553,0.249822336435318,0.14687238732973737,1.0,1.0,4.333333333333333
Life and Death / Eschatology,resurrection,eschatological_doctrinal,low,ordinary,3,0.4106739997863769,0.3202705929676692,0.09040340681870779,1.0,1.0,2.6666666666666665
Life and Death / Mortality,death,anthropological_eschatological,high,academic,3,0.31232623954614,0.33403400878111517,-0.021707769234975194,0.3333333333333333,1.6666666666666667,1.3333333333333333
Life and Death / Mortality,death,anthropological_eschatological,high,bare,1,0.35735193490982053,0.4333616435527802,-0.07600970864295964,0.0,3.0,1.0
Life and Death / Mortality,death,anthropological_eschatological,high,catholic,3,0.3558136900266011,0.26473690718412396,0.09107678284247715,1.0,1.0,2.6666666666666665
Life and Death / Mortality,death,anthropological_eschatological,high,ordinary,3,0.2695448011159897,0.30866585771242777,-0.03912105659643811,0.0,2.0,1.0
Life and Death / Mortality,dying,pastoral_anthropological,high,academic,3,0.3319816023111343,0.36144063770771023,-0.029459035396575944,0.0,2.3333333333333335,1.0
Life and Death / Mortality,dying,pastoral_anthropological,high,bare,1,0.33689662516117097,0.44703189730644227,-0.1101352721452713,0.0,4.0,1.0
